"device type" time pose "pose - last_pose" vel "comanded vel" "Nocap C_vel"
H 1412.417129146 80.0 0.0 122.75488476450933 100 100
E 1412.462391244 120.0 0.0 -20.360484827119187 0 0
H 1412.466246914 86.0 0.0 122.15538784232471 100 100
E 1412.521081148 120.0 0.0 0.0 0 0
H 1412.524936314 94.0 0.0 136.31081592288206 100 100
E 1412.570083654 118.0 0.0 -40.81423917374304 0 0
H 1412.573937854 97.0 0.0 61.222565658061875 100 100
E 1412.619085838 116.0 0.0 -40.814507369651025 0 0
H 1412.623179998 97.0 0.0 0.0 99.93333333333334 99.93333333333334
E 1412.668202584 116.0 0.0 0.0 0 0
H 1412.672058268 96.0 0.0 -20.458989240032274 9.993333333333334 9.993333333333334
E 1412.726890738 115.0 0.0 -17.039213739783975 0 0
H 1412.730746254 96.0 0.0 0.0 0 0
E 1412.775893118 115.0 0.0 0.0 0 0
H 1412.779748872 96.0 0.0 0.0 0 0
E 1412.824895232 115.0 0.0 0.0 0 0
H 1412.828750930 95.0 0.0 -20.407306158430032 0 0
E 1412.874011782 113.0 0.0 -40.71947235707063 -29.980000000000004 -29.980000000000004
H 1412.878099376 95.0 0.0 0.0 0 0
E 1412.932700118 109.0 0.0 -68.15664359617621 -39.973333333333336 -39.973333333333336
H 1412.936552092 94.0 0.0 -17.107844911731444 0 0
E 1413.001702386 105.0 0.0 -57.969109073278005 0 0
H 1413.005378366 94.0 0.0 0.0 -9.993333333333334 -9.993333333333334
E 1413.050704668 104.0 0.0 -20.40721287227169 0 0
H 1413.054469352 93.0 0.0 -20.370338456835906 -19.986666666666668 -19.986666666666668
E 1413.100374204 103.0 0.0 -20.133065064263775 0 0
H 1413.104226892 90.0 0.0 -60.2923697594699 -29.980000000000004 -29.980000000000004
E 1413.158509666 103.0 0.0 0.0 0 0
H 1413.162614396 87.0 0.0 -51.38085710947952 -59.96000000000001 -59.96000000000001
E 1413.207511794 103.0 0.0 0.0 0 0
H 1413.211366274 83.0 0.0 -82.04812130506652 -89.94000000000001 -89.94000000000001
E 1413.256514048 103.0 0.0 0.0 0 0
H 1413.260369536 80.0 0.0 -61.22041426543049 -100 -100
E 1413.305628960 103.0 0.0 0.0 0 0
H 1413.309483832 76.0 0.0 -81.44268218773595 -100 -100
E 1413.364318878 103.0 0.0 0.0 0 0
H 1413.368175178 71.0 0.0 -85.19143520759886 -100 -100
E 1413.413321146 103.0 0.0 0.0 0 0
H 1413.417425806 66.0 0.0 -101.52154811105899 -100 -100
E 1413.462323386 102.0 0.0 -20.40723036337325 -9.993333333333334 -9.993333333333334
